Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
449	540.0	1080.0
450	540.0	1080.0
451	540.0	1080.0
452	540.0	1080.0
453	540.0	1080.0
454	540.0	1080.0
455	540.0	1080.0
456	540.0	1080.0
457	540.0	1080.0
458	540.0	1080.0
459	540.0	1080.0
460	540.0	1080.0
461	540.0	1080.0
462	540.0	1080.0
463	540.0	1080.0
464	540.0	1080.0
465	540.0	1080.0
466	540.0	1080.0
467	540.0	1080.0
468	540.0	1080.0
469	540.0	1080.0
470	540.0	1080.0
471	540.0	1080.0
472	540.0	1080.0
473	540.0	1080.0
474	540.0	1080.0
475	540.0	1080.0
476	540.0	1080.0
477	540.0	1080.0
478	540.0	1080.0
479	540.0	1080.0
480	540.0	1080.0
481	540.0	1080.0
482	540.0	1080.0
483	540.0	1080.0
484	540.0	1080.0
485	540.0	1080.0
486	540.0	1080.0
487	540.0	1080.0
488	540.0	1080.0
489	540.0	1080.0
490	540.0	1080.0
491	540.0	1080.0
492	540.0	1080.0
493	540.0	1080.0
494	540.0	1080.0
495	540.0	1080.0
496	540.0	1080.0
497	540.0	1080.0
498	540.0	1080.0
499	540.0	1080.0
500	540.0	1080.0
501	540.0	1080.0
502	540.0	1080.0
503	540.0	1080.0
504	540.0	1080.0
505	540.0	1080.0
506	540.0	1080.0
507	540.0	1080.0
508	540.0	1080.0
509	540.0	1080.0
510	540.0	1080.0
